basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
ktc,A.J. Brown,WR,4994,0.853,0.866,4260,4325,+1.5%,84,77,7
ktc,Kyren Williams,RB,4990,1.296,1.262,6467,6298,-2.6%,30,30,0
ktc,Rashee Rice,WR,4968,0.853,0.866,4238,4303,+1.5%,85,78,7
ktc,Tee Higgins,WR,4964,0.853,0.866,4234,4300,+1.5%,86,79,7
ktc,Dak Prescott,QB,4947,0.967,0.934,4784,4619,-3.4%,62,67,-5
ktc,Tucker Kraft,TE,5513,0.936,0.968,5160,5335,+3.4%,55,47,8
ktc,Jaylen Waddle,WR,4855,0.853,0.867,4141,4208,+1.6%,89,80,9
ktc,Jadarian Price,RB,4855,1.296,1.25,6292,6070,-3.5%,32,35,-3
ktc,Tyler Shough,QB,4814,0.967,0.938,4655,4517,-3.0%,69,70,-1
ktc,Brian Thomas Jr.,WR,4810,0.853,0.867,4103,4170,+1.6%,91,83,8
ktc,Marvin Harrison Jr.,WR,4797,0.853,0.867,4092,4159,+1.7%,92,84,8
ktc,Cam Skattebo,RB,4789,1.296,1.244,6207,5959,-4.0%,34,37,-3
ktc,Harold Fannin,TE,5336,0.936,0.972,4994,5187,+3.9%,58,51,7
ktc,Jared Goff,QB,4748,0.967,0.94,4591,4465,-2.7%,70,72,-2
ktc,Jameson Williams,WR,4725,0.853,0.867,4030,4099,+1.7%,94,85,9
ktc,C.J. Stroud,QB,4720,0.967,0.941,4564,4444,-2.6%,72,73,-1
ktc,Bucky Irving,RB,4682,1.296,1.235,6068,5781,-4.7%,38,38,0
ktc,Baker Mayfield,QB,4664,0.967,0.943,4510,4400,-2.4%,75,74,1
ktc,Sam LaPorta,TE,5155,0.936,0.977,4825,5035,+4.4%,59,54,5
ktc,Javonte Williams,RB,4587,1.296,1.226,5945,5624,-5.4%,41,40,1
ktc,Kyle Pitts,TE,5063,0.936,0.979,4739,4958,+4.6%,65,57,8
ktc,Sam Darnold,QB,4377,0.967,0.954,4233,4175,-1.3%,87,82,5
ktc,Travis Etienne,RB,4357,1.296,1.204,5647,5248,-7.1%,45,50,-5
ktc,KC Concepcion,WR,4345,0.853,0.87,3706,3779,+2.0%,105,97,8
ktc,Bhayshul Tuten,RB,4288,1.296,1.198,5557,5136,-7.6%,47,53,-6
ktc,Derrick Henry,RB,4199,1.296,1.189,5442,4993,-8.2%,48,55,-7
ktc,Josh Jacobs,RB,4067,1.296,1.176,5271,4783,-9.2%,51,63,-12
ktc,Kenyon Sadiq,TE,4504,0.936,0.995,4216,4484,+6.4%,88,71,17
ktc,Bryce Young,QB,3943,0.967,0.972,3813,3831,+0.5%,100,94,6
