rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
124,Keelan Cole Sr.,16864,keelan-cole,,,WR,49,133,&nbsp;,&nbsp;,&nbsp;,136,181,136.4,4622
125,George Kittle,16499,george-kittle,SF,11,TE,12,163,&nbsp;,&nbsp;,&nbsp;,129,117,136.8,4217
126,Ty Montgomery II,13977,ty-montgomery,,,RB,46,154,&nbsp;,&nbsp;,&nbsp;,131,109,137.2,2399
127,Marcus Mariota,13890,marcus-mariota,WAS,4,QB,18,131,&nbsp;,&nbsp;,&nbsp;,147,124,137.4,2307
128,Tyler Eifert,11692,tyler-eifert,,,TE,13,136,&nbsp;,&nbsp;,&nbsp;,133,134,137.4,1388
129,Jacksonville Jaguars,8140,,,9,DST,1,65,&nbsp;,&nbsp;,&nbsp;,96,&nbsp;,86.0,
130,Derek Carr,12092,derek-carr,,,QB,19,114,&nbsp;,&nbsp;,&nbsp;,142,143,138.4,2028
131,DJ Moore,17265,dj-moore-wr,BUF,11,WR,50,178,&nbsp;,&nbsp;,&nbsp;,123,122,139.0,4983
132,Giovani Bernard,11644,giovani-bernard,,,RB,47,167,&nbsp;,&nbsp;,&nbsp;,141,126,141.4,1386
133,Dak Prescott,15600,dak-prescott,DAL,8,QB,20,113,&nbsp;,&nbsp;,&nbsp;,150,141,141.8,3294
134,Justin Tucker,11465,justin-tucker,,,K,3,124,&nbsp;,&nbsp;,&nbsp;,161,137,142.2,1264
135,Bilal Powell,9963,bilal-powell,,,RB,48,165,&nbsp;,&nbsp;,&nbsp;,149,150,142.4,818
136,Latavius Murray,11821,latavius-murray,,,RB,49,159,&nbsp;,&nbsp;,&nbsp;,146,144,142.6,1476
137,Michael Gallup,17259,michael-gallup,,,WR,51,157,&nbsp;,&nbsp;,&nbsp;,121,158,144.2,5038
138,Kenny Golladay,16488,kenny-golladay,,,WR,52,150,&nbsp;,&nbsp;,&nbsp;,152,139,144.6,4131
139,Corey Clement,16446,corey-clement,,,RB,50,160,&nbsp;,&nbsp;,&nbsp;,144,131,144.8,4651
