value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total,removal_pairs
ktc,hwang,2021,2024_3,7021,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,7045,2.1,2,1000,2102,1937
ktc,hwang,2021,2024_3,7049,18.1,17.9,1000,2102,1937
ktc,hwang,2021,2024_3,7066,62.3,61.9,1000,2102,1937
ktc,hwang,2021,2024_3,7083,41.5,41.1,1000,2102,1937
ktc,hwang,2021,2024_3,7496,27.8,27.6,1000,2102,1937
ktc,hwang,2021,2024_3,7525,81.8,81.4,1000,2102,1937
ktc,hwang,2021,2024_3,7526,94.5,94.3,1000,2102,1937
ktc,hwang,2021,2024_3,7529,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,7538,69.9,69.5,1000,2102,1937
ktc,hwang,2021,2024_3,7543,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,7547,82.2,81.6,1000,2102,1937
ktc,hwang,2021,2024_3,7551,5.6,5.6,1000,2102,1937
ktc,hwang,2021,2024_3,7562,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,7567,49.5,49.1,1000,2102,1937
ktc,hwang,2021,2024_3,7585,57.5,56.7,1000,2102,1937
ktc,hwang,2021,2024_3,7587,4.1,4.1,1000,2102,1937
ktc,hwang,2021,2024_3,7588,116.6,115.8,1000,2102,1937
ktc,hwang,2021,2024_3,7594,68.5,68.1,1000,2102,1937
ktc,hwang,2021,2024_3,7595,0.1,0.1,1000,2102,1937
ktc,hwang,2021,2024_3,7600,70.8,70.2,1000,2102,1937
ktc,hwang,2021,2024_3,7605,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,7610,33.8,33.4,1000,2102,1937
ktc,hwang,2021,2024_3,7716,13.4,13.2,1000,2102,1937
