year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),28,none,none,0,0,1,2098.7,25.72,53784,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),28,single,single,1,0,1,2196,21.59,53548,MIA,Tua Tagovailoa/Jaylen Waddle (MIA),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),28,multi,multi,2,0,1,2220.1,21.06,53864,JAX|MIA,Trevor Lawrence/Laviska Shenault (JAX); Tua Tagovailoa/Jaylen Waddle (MIA),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),29,natural,single,1,0,1,2159,24.73,53003,CLE,Baker Mayfield/Donovan Peoples-Jones (CLE),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),29,none,none,0,0,0,2140.8,23.93,52908,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),29,single,single,1,0,1,2159,24.73,53003,CLE,Baker Mayfield/Donovan Peoples-Jones (CLE),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),29,multi,multi,2,0,1,2206.2,24.92,53319,JAX|CLE,Trevor Lawrence/Laviska Shenault (JAX); Baker Mayfield/Donovan Peoples-Jones (CLE),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),30,natural,none,0,0,0,1930.8,27.22,55109,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),30,none,none,0,0,0,1930.8,27.22,55109,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),30,single,single,1,0,1,1863.4,30.65,54022,NO,Jameis Winston/Marquez Callaway (NO),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),30,multi,multi,2,0,1,1943.1,28.55,54338,JAX|NO,Trevor Lawrence/Laviska Shenault (JAX); Jameis Winston/Marquez Callaway (NO),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),31,natural,none,0,0,0,1785.3,25.04,54538,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),31,none,none,0,0,0,1785.3,25.04,54538,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),31,single,single,1,0,1,1603.2,28.15,54712,JAX,Trevor Lawrence/Laviska Shenault (JAX),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),31,multi,multi,2,0,1,1769,24.34,54527,JAX|CHI,Trevor Lawrence/Laviska Shenault (JAX); Justin Fields/Darnell Mooney (CHI),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),32,natural,none,0,0,1,2316.6,24.53,54443,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),32,none,none,0,0,1,2316.6,24.53,54443,,,Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),32,single,single,1,0,1,2314.9,26.63,54384,MIA,Tua Tagovailoa/Jaylen Waddle (MIA),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),32,multi,multi,2,0,1,2513.9,23.16,52832,MIA|LV,Tua Tagovailoa/Jaylen Waddle (MIA); Derek Carr/Hunter Renfrow (LV),Michael Thomas,
2021,2024_1,2024 #1 — Let James Cook (16-2),33,natural,none,0,0,0,2328,24.57,54236,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),33,none,none,0,0,0,2328,24.57,54236,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),33,single,single,1,0,1,2344.1,24.16,53274,LV,Derek Carr/Hunter Renfrow (LV),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),33,multi,multi,2,0,1,2340.3,18.3,53098,MIA|LV,Tua Tagovailoa/Jaylen Waddle (MIA); Derek Carr/Hunter Renfrow (LV),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),34,natural,none,0,0,0,2198.2,22.98,57978,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),34,none,none,0,0,0,2198.2,22.98,57978,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),34,single,single,1,0,1,2208.6,23.96,58138,JAX,Trevor Lawrence/Laviska Shenault (JAX),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),34,multi,multi,2,0,1,2221.9,21.74,57638,JAX|MIA,Trevor Lawrence/Laviska Shenault (JAX); Tua Tagovailoa/Jaylen Waddle (MIA),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),35,natural,none,0,0,0,1872.2,20.89,53430,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),35,none,none,0,0,0,1872.2,20.89,53430,,,DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),35,single,single,1,0,1,1879.2,17.97,53786,CHI,Justin Fields/Darnell Mooney (CHI),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),35,multi,multi,2,0,1,1921.8,23.93,54341,CHI|CLE,Justin Fields/Darnell Mooney (CHI); Baker Mayfield/Donovan Peoples-Jones (CLE),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),36,natural,none,0,0,1,2346.7,26.94,53995,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),36,none,none,0,0,1,2346.7,26.94,53995,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),36,single,single,1,0,1,2247.5,33.43,53870,NO,Jameis Winston/Marquez Callaway (NO),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),36,multi,multi,2,0,1,2075.8,33.24,53543,JAX|NO,Trevor Lawrence/Laviska Shenault (JAX); Jameis Winston/Marquez Callaway (NO),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),37,natural,none,0,0,1,2008.8,28.15,54937,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),37,none,none,0,0,1,2008.8,28.15,54937,,,Ja'Marr Chase,CIN
