year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),34,none,none,0,0,2078,26.45,55250,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),34,double,double,2,1,2150.3,26.33,55253,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),34,triple,triple,3,1,2035.5,25.17,55453,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),35,natural,double,2,1,2087.6,19.58,54357,MIA,TE/WR,Mike Gesicki/DeVante Parker,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),35,none,none,0,0,2138.4,21.57,54161,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),35,double,double,2,1,2087.6,19.58,54357,MIA,TE/WR,Mike Gesicki/DeVante Parker,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),35,triple,triple,3,1,2113.7,21.34,54822,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),36,natural,none,0,0,2142,25.32,54166,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),36,none,none,0,0,2142,25.32,54166,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),36,double,double,2,1,2112,25.05,54335,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),36,triple,triple,3,1,1916.2,20.31,55208,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),37,natural,none,0,0,1874.6,22.73,58303,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),37,none,none,0,0,1874.6,22.73,58303,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),37,double,double,2,1,1900,22.23,58525,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),37,triple,triple,3,1,1888.5,23.25,58781,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),38,natural,none,0,0,2380.5,22.89,52473,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),38,none,none,0,0,2380.5,22.89,52473,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),38,double,double,2,1,2255.2,25.01,52232,JAX,WR/WR,D.J. Chark/Laviska Shenault,JAX:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),38,triple,triple,3,1,2348.2,21.81,52114,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),39,natural,none,0,0,2192.1,28.49,55612,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),39,none,none,0,0,2192.1,28.49,55612,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),39,double,double,2,1,2080.4,26.01,55524,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),39,triple,triple,3,1,1878,28.83,56397,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
