year,ktc_snapshot_date,name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,adp_source
2020,2020-09-10,Justice Hill,RB,,646,38,85,84.6,257.0,261.0,495,0.7663,1443,2.2337,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Adam Trautman,TE,,618,24,46,45.32,335.0,335.0,764,1.2362,1021,1.6521,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Kendrick Bourne,WR,,602,53,67,77.83,242.0,200.6,1279,2.1246,1107,1.8389,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jacoby Brissett,QB,,594,29,37,37.04,334.0,334.0,1045,1.7593,724,1.2189,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Donovan Peoples-Jones,WR,,578,54,136,134.92,,,486,0.8408,1383,2.3927,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Marquez Valdes-Scantling,WR,,570,55,91,91.09,262.5,258.0,917,1.6088,1183,2.0754,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jamaal Williams,RB,,569,39,66,67.47,203.5,203.5,942,1.6555,1103,1.9385,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Marcus Mariota,QB,,537,30,39,38.84,353.0,353.0,908,1.6909,698,1.2998,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Taysom Hill,TE,,536,25,44,44.13,317.0,317.0,804,1.5,899,1.6772,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jakobi Meyers,WR,,494,56,136,134.92,,,486,0.9838,1249,2.5283,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Equanimeous St. Brown,WR,,471,57,118,117.73,352.0,352.0,589,1.2505,1176,2.4968,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Quez Watkins,WR,,461,58,136,134.92,,,486,1.0542,1167,2.5315,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tre'Quan Smith,WR,,446,59,90,89.6,259.0,252.0,948,2.1256,981,2.1996,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Albert Okwuegbunam,TE,,406,26,51,50.69,346.0,346.0,707,1.7414,837,2.0616,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Gus Edwards,RB,,399,40,90,93.66,288.0,267.2,478,1.198,1113,2.7895,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Drew Sample,TE,,385,27,60,60.0,,,459,1.1922,848,2.2026,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Josh Oliver,TE,,344,28,60,60.0,,,459,1.3343,766,2.2267,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Gabriel Davis,WR,,328,60,136,134.92,,,486,1.4817,959,2.9238,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Justin Watson,WR,,313,61,129,129.0,380.0,380.0,426,1.361,1026,3.278,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Isaiah Hodgins,WR,,307,62,136,134.92,,,486,1.5831,892,2.9055,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Nelson Agholor,WR,,290,63,126,125.6,370.0,371.0,455,1.569,961,3.3138,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Trayveon Williams,RB,,274,41,101,100.6,318.0,318.0,367,1.3394,1018,3.7153,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Foster Moreau,TE,,273,29,56,56.0,363.0,363.0,546,2.0,713,2.6117,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,David Moore,WR,,272,64,124,123.76,375.0,369.4,473,1.739,922,3.3897,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Mo Alie-Cox,TE,,270,30,60,60.0,,,459,1.7,620,2.2963,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Myles Gaskin,RB,,249,42,114,118.58,368.0,368.0,264,1.0602,1004,4.0321,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jeffery Wilson,RB,,247,43,118,118.62,,,263,1.0648,962,3.8947,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Zay Jones,WR,,226,65,136,134.92,,,486,2.1504,730,3.2301,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Nick Mullens,QB,,183,31,42,42.0,,,734,4.0109,130,0.7104,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Mason Rudolph,QB,,178,32,42,42.0,,,734,4.1236,57,0.3202,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Salvon Ahmed,RB,,170,44,118,118.62,,,263,1.5471,832,4.8941,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jauan Jennings,WR,,162,66,133,134.89,385.0,385.0,486,3.0,811,5.0062,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Cordarrelle Patterson,RB,,138,45,94,94.58,309.0,293.8,465,3.3696,774,5.6087,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Braxton Berrios,WR,,130,67,136,134.92,,,486,3.7385,576,4.4308,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Ty Johnson,RB,,128,46,118,118.62,,,263,2.0547,733,5.7266,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Richie James,WR,,62,68,136,134.92,,,486,7.8387,471,7.5968,1,hwang_adjusted_positional_adp_2020
