format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
hwang,archetype,2022,2026_3,QB_vs_TE,QB,TE,590,32197.7,21976.4,37.7
hwang,archetype,2022,2026_3,RB_vs_WR,RB,WR,3910,279039.3,150273.1,60
hwang,archetype,2022,2026_3,RB_vs_TE,RB,TE,1670,79725.8,60848.6,26.9
hwang,archetype,2022,2026_3,WR_vs_TE,WR,TE,1870,55326.5,74043.6,-28.9
hwang,archetype,2022,2026_4,QB_vs_RB,QB,RB,1260,58816,97041.9,-49.1
hwang,archetype,2022,2026_4,QB_vs_WR,QB,WR,2000,93403.3,95923.4,-2.7
hwang,archetype,2022,2026_4,QB_vs_TE,QB,TE,590,22023,23817.9,-7.8
hwang,archetype,2022,2026_4,RB_vs_WR,RB,WR,3910,302849.4,164622.1,59.1
hwang,archetype,2022,2026_4,RB_vs_TE,RB,TE,1670,87967.1,65531.2,29.2
hwang,archetype,2022,2026_4,WR_vs_TE,WR,TE,1870,61070.1,80123.3,-27
hwang,archetype,2022,2026_5,QB_vs_RB,QB,RB,1260,64373.9,66024.9,-2.5
hwang,archetype,2022,2026_5,QB_vs_WR,QB,WR,2000,104105.4,88661.8,16
hwang,archetype,2022,2026_5,QB_vs_TE,QB,TE,590,25600.2,19012.3,29.5
hwang,archetype,2022,2026_5,RB_vs_WR,RB,WR,3910,208163,153205.5,30.4
hwang,archetype,2022,2026_5,RB_vs_TE,RB,TE,1670,57054.4,52057.3,9.2
hwang,archetype,2022,2026_5,WR_vs_TE,WR,TE,1870,56696.2,64156.7,-12.3
hwang,archetype,2022,2026_6,QB_vs_RB,QB,RB,1260,78027.1,83080.4,-6.3
hwang,archetype,2022,2026_6,QB_vs_WR,QB,WR,2000,129541.4,103959,21.9
hwang,archetype,2022,2026_6,QB_vs_TE,QB,TE,590,30141.6,24110.3,22.2
hwang,archetype,2022,2026_6,RB_vs_WR,RB,WR,3910,258907.1,181131.9,35.3
