format,year,archetype_id,player_id,avg_hvorp,build_count
hwang,2021,2024_2,2309,80.7,10
hwang,2021,2024_2,2319,33.8,10
hwang,2021,2024_2,2325,32.2,10
hwang,2021,2024_2,2374,99.4,10
hwang,2021,2024_2,2449,105.3,10
hwang,2021,2024_2,2505,64.3,10
hwang,2021,2024_2,2711,73.4,10
hwang,2021,2024_2,2749,0.2,10
hwang,2021,2024_2,3163,63.2,10
hwang,2021,2024_2,3164,149.6,10
hwang,2021,2024_2,3198,153.3,10
hwang,2021,2024_2,3202,34.6,10
hwang,2021,2024_2,3214,78.6,10
hwang,2021,2024_2,3225,68.5,10
hwang,2021,2024_2,3271,46.9,10
hwang,2021,2024_2,3286,20.2,10
hwang,2021,2024_2,3294,127.5,10
hwang,2021,2024_2,3321,137.9,10
hwang,2021,2024_2,3634,36.9,10
hwang,2021,2024_2,3976,0.5,10
hwang,2021,2024_2,4018,195.5,10
hwang,2021,2024_2,4029,125.5,10
hwang,2021,2024_2,4033,50.9,10
hwang,2021,2024_2,4034,68.5,10
hwang,2021,2024_2,4035,133.3,10
hwang,2021,2024_2,4037,99,10
hwang,2021,2024_2,4039,212.2,10
hwang,2021,2024_2,4040,8.8,10
hwang,2021,2024_2,4046,159.4,10
hwang,2021,2024_2,4054,31.6,10
hwang,2021,2024_2,4066,36.7,10
hwang,2021,2024_2,4068,104.7,10
hwang,2021,2024_2,4080,26.8,10
hwang,2021,2024_2,4082,0,10
hwang,2021,2024_2,4089,46.5,10
hwang,2021,2024_2,4098,70.5,10
hwang,2021,2024_2,4111,52.4,10
hwang,2021,2024_2,4137,156.8,10
hwang,2021,2024_2,4144,21,10
hwang,2021,2024_2,4147,29.3,10
hwang,2021,2024_2,4149,50.5,10
hwang,2021,2024_2,4171,25.7,10
hwang,2021,2024_2,4198,33.7,10
hwang,2021,2024_2,4199,127.8,10
hwang,2021,2024_2,4217,111.5,10
hwang,2021,2024_2,4234,3.8,10
hwang,2021,2024_2,4274,0,10
hwang,2021,2024_2,4351,52.3,10
hwang,2021,2024_2,4381,78.6,10
hwang,2021,2024_2,4454,71,10
hwang,2021,2024_2,4663,196.3,10
hwang,2021,2024_2,4866,64,10
hwang,2021,2024_2,4881,111.8,10
hwang,2021,2024_2,4892,56,10
hwang,2021,2024_2,4943,43.9,10
hwang,2021,2024_2,4950,74.5,10
hwang,2021,2024_2,4951,16.1,10
hwang,2021,2024_2,4973,21.6,10
hwang,2021,2024_2,4981,24.3,10
hwang,2021,2024_2,4983,77,10
hwang,2021,2024_2,4984,196.1,10
hwang,2021,2024_2,4985,68,10
hwang,2021,2024_2,4988,142.9,10
hwang,2021,2024_2,4993,73.6,10
hwang,2021,2024_2,5000,68.3,10
hwang,2021,2024_2,5001,99.1,10
hwang,2021,2024_2,5008,21.6,10
hwang,2021,2024_2,5010,9.2,10
hwang,2021,2024_2,5012,171.2,10
hwang,2021,2024_2,5022,85.8,10
hwang,2021,2024_2,5026,20.2,10
hwang,2021,2024_2,5038,24.3,10
hwang,2021,2024_2,5045,50.3,10
hwang,2021,2024_2,5086,45.7,10
hwang,2021,2024_2,5122,61.3,10
hwang,2021,2024_2,5133,65.8,10
hwang,2021,2024_2,5137,0,10
hwang,2021,2024_2,5185,48.4,10
hwang,2021,2024_2,5248,0,10
