league,match_id,minute,elapsed,elapsed_plus
England Premier League,2015,41,41,0
England Premier League,2015,56,56,0
England Premier League,2016,33,33,0
England Premier League,2018,1,1,0
England Premier League,2018,4,4,0
England Premier League,2018,10,10,0
England Premier League,2018,53,53,0
England Premier League,2019,18,18,0
England Premier League,2019,45,45,0
England Premier League,2020,28,28,0
England Premier League,2020,39,39,0
England Premier League,2020,49,49,0
England Premier League,2020,70,70,0
England Premier League,2020,86,86,0
England Premier League,2021,2,2,0
England Premier League,2021,38,38,0
England Premier League,2021,84,84,0
England Premier League,2023,3,3,0
England Premier League,2023,9,9,0
England Premier League,2023,71,71,0
England Premier League,2023,86,86,0
England Premier League,2024,31,31,0
England Premier League,2024,58,58,0
England Premier League,2025,6,6,0
England Premier League,2025,14,14,0
England Premier League,2025,46,46,0
England Premier League,2025,60,60,0
England Premier League,2027,8,8,0
England Premier League,2027,17,17,0
England Premier League,2027,59,59,0
England Premier League,2027,73,73,0
England Premier League,2028,41,41,0
England Premier League,2028,73,73,0
England Premier League,2028,95,90,5
England Premier League,2030,29,29,0
England Premier League,2030,65,65,0
England Premier League,2030,86,86,0
England Premier League,2031,24,24,0
England Premier League,2031,38,38,0
England Premier League,2031,48,48,0
England Premier League,2031,76,76,0
England Premier League,2032,14,14,0
England Premier League,2032,57,57,0
England Premier League,2033,41,41,0
England Premier League,2034,26,26,0
England Premier League,2034,46,46,0
England Premier League,2035,28,28,0
England Premier League,2035,63,63,0
England Premier League,2036,59,59,0
England Premier League,2036,60,60,0
England Premier League,2036,68,68,0
England Premier League,2036,88,88,0
England Premier League,2037,69,69,0
England Premier League,2037,76,76,0
England Premier League,2038,4,4,0
England Premier League,2038,59,59,0
England Premier League,2039,10,10,0
England Premier League,2039,16,16,0
England Premier League,2039,18,18,0
England Premier League,2039,31,31,0
England Premier League,2039,41,41,0
England Premier League,2040,31,31,0
England Premier League,2040,64,64,0
England Premier League,2040,77,77,0
England Premier League,2040,81,81,0
England Premier League,2041,47,47,0
England Premier League,2041,53,53,0
England Premier League,2041,74,74,0
England Premier League,2041,86,86,0
England Premier League,2041,90,90,0
England Premier League,2042,33,33,0
England Premier League,2042,50,50,0
England Premier League,2042,58,58,0
England Premier League,2043,38,38,0
England Premier League,2044,8,8,0
England Premier League,2046,45,45,0
England Premier League,2046,88,88,0
England Premier League,2047,24,24,0
England Premier League,2048,26,26,0
England Premier League,2049,3,3,0
England Premier League,2049,27,27,0
England Premier League,2049,77,77,0
England Premier League,2050,5,5,0
England Premier League,2050,54,54,0
England Premier League,2050,87,87,0
England Premier League,2051,34,34,0
England Premier League,2051,55,55,0
England Premier League,2051,82,82,0
England Premier League,2052,13,13,0
England Premier League,2052,16,16,0
England Premier League,2052,53,53,0
England Premier League,2052,69,69,0
England Premier League,2053,8,8,0
England Premier League,2053,45,45,0
England Premier League,2053,81,81,0
England Premier League,2053,93,90,3
England Premier League,2054,15,15,0
England Premier League,2054,41,41,0
England Premier League,2054,82,82,0
England Premier League,2055,3,3,0
England Premier League,2055,29,29,0
England Premier League,2055,35,35,0
England Premier League,2055,37,37,0
England Premier League,2055,83,83,0
England Premier League,2056,24,24,0
England Premier League,2056,59,59,0
England Premier League,2056,86,86,0
England Premier League,2057,41,41,0
England Premier League,2057,51,51,0
England Premier League,2057,55,55,0
England Premier League,2057,63,63,0
England Premier League,2057,77,77,0
England Premier League,2058,15,15,0
England Premier League,2058,78,78,0
England Premier League,2060,81,81,0
England Premier League,2060,93,90,3
England Premier League,2062,8,8,0
England Premier League,2062,37,37,0
England Premier League,2062,53,53,0
England Premier League,2062,67,67,0
England Premier League,2063,13,13,0
England Premier League,2063,20,20,0
England Premier League,2063,57,57,0
England Premier League,2063,68,68,0
England Premier League,2063,78,78,0
England Premier League,2063,83,83,0
England Premier League,2064,84,84,0
England Premier League,2065,14,14,0
England Premier League,2065,26,26,0
England Premier League,2065,27,27,0
England Premier League,2065,87,87,0
England Premier League,2066,27,27,0
England Premier League,2066,29,29,0
England Premier League,2066,34,34,0
England Premier League,2067,18,18,0
England Premier League,2067,50,50,0
England Premier League,2067,73,73,0
England Premier League,2067,78,78,0
England Premier League,2068,18,18,0
England Premier League,2068,80,80,0
England Premier League,2069,60,60,0
England Premier League,2069,77,77,0
England Premier League,2070,51,51,0
England Premier League,2070,62,62,0
England Premier League,2070,66,66,0
England Premier League,2071,10,10,0
England Premier League,2071,18,18,0
England Premier League,2071,33,33,0
England Premier League,2072,59,59,0
England Premier League,2072,62,62,0
England Premier League,2073,53,53,0
England Premier League,2074,31,31,0
England Premier League,2074,41,41,0
England Premier League,2074,51,51,0
England Premier League,2075,43,43,0
England Premier League,2075,46,45,1
England Premier League,2075,59,59,0
England Premier League,2076,32,32,0
England Premier League,2076,68,68,0
England Premier League,2077,36,36,0
England Premier League,2077,76,76,0
England Premier League,2078,16,16,0
England Premier League,2078,21,21,0
England Premier League,2078,32,32,0
England Premier League,2079,86,86,0
England Premier League,2079,93,90,3
England Premier League,2080,9,9,0
England Premier League,2081,30,30,0
England Premier League,2081,34,34,0
England Premier League,2081,69,69,0
England Premier League,2081,86,86,0
England Premier League,2082,17,17,0
England Premier League,2082,35,35,0
England Premier League,2082,47,45,2
England Premier League,2082,47,47,0
England Premier League,2083,19,19,0
England Premier League,2083,41,41,0
England Premier League,2083,55,55,0
England Premier League,2083,73,73,0
England Premier League,2083,93,90,3
England Premier League,2084,30,30,0
England Premier League,2084,64,64,0
England Premier League,2085,61,61,0
England Premier League,2086,25,25,0
England Premier League,2086,48,48,0
England Premier League,2086,51,51,0
England Premier League,2087,89,89,0
England Premier League,2088,21,21,0
England Premier League,2088,44,44,0
England Premier League,2089,56,56,0
England Premier League,2089,69,69,0
England Premier League,2089,71,71,0
England Premier League,2089,90,90,0
England Premier League,2090,9,9,0
England Premier League,2090,48,48,0
England Premier League,2090,70,70,0
England Premier League,2090,90,90,0
England Premier League,2091,29,29,0
England Premier League,2091,37,37,0
England Premier League,2091,47,45,2
England Premier League,2091,80,80,0
England Premier League,2091,85,85,0
England Premier League,2093,14,14,0
England Premier League,2093,51,51,0
England Premier League,2093,53,53,0
England Premier League,2093,63,63,0
England Premier League,2093,67,67,0
England Premier League,2094,14,14,0
England Premier League,2094,44,44,0
England Premier League,2094,63,63,0
England Premier League,2094,86,86,0
England Premier League,2097,51,51,0
England Premier League,2098,19,19,0
England Premier League,2098,25,25,0
England Premier League,2098,53,53,0
England Premier League,2099,20,20,0
England Premier League,2099,30,30,0
England Premier League,2099,75,75,0
England Premier League,2100,17,17,0
England Premier League,2100,76,76,0
England Premier League,2101,75,75,0
